game_id,year,week,away,home,away_score,home_score,temp,forecast,is_dome,wind_speed,wind_direct
1201612781,2017,4,Raiders,Broncos,10,16,70,Possible Drizzle,FALSE,2,NNW
2267304524,2017,4,Colts,Seahawks,18,46,57,Mostly Cloudy,FALSE,3,NNW
1541346496,2017,4,Redskins,Chiefs,20,29,78,Clear,FALSE,5,SSE
2591979452,2017,5,Patriots,Buccaneers,19,14,77,Partly Cloudy,FALSE,4,ENE
957510082,2017,5,Jets,Browns,17,14,68,Mostly Cloudy,FALSE,5,W
2873509092,2017,5,Panthers,Lions,27,24,72,DOME,TRUE,4,SSW
983119828,2017,5,49ers,Colts,23,26,72,DOME,TRUE,6,ESE
1060169947,2017,5,Titans,Dolphins,10,16,89,Clear,FALSE,6,SE
1372947848,2017,5,Bills,Bengals,16,20,63,Rain,FALSE,2,ESE
3245532096,2017,5,Chargers,Giants,27,22,74,Humid and Mostly Cloudy,FALSE,4,SW
2334889127,2017,5,Jaguars,Steelers,30,9,71,Mostly Cloudy,FALSE,4,WSW
2695548574,2017,5,Cardinals,Eagles,7,34,77,Light Rain,FALSE,3,SW
3274531442,2017,5,Seahawks,Rams,16,10,75,Clear,FALSE,4,S
2992704484,2017,5,Ravens,Raiders,30,17,75,Clear,FALSE,3,NNW
2728948394,2017,5,Packers,Cowboys,35,31,88,Clear,FALSE,2,SSW
502231683,2017,5,Chiefs,Texans,42,34,83,Clear,FALSE,2,S
2935689939,2017,5,Vikings,Bears,20,17,64,Clear,FALSE,3,NE
1979733112,2017,6,Eagles,Panthers,28,23,73,Mostly Cloudy,FALSE,5,ENE
137421405,2017,6,Bears,Ravens,27,24,68,Mostly Cloudy,FALSE,4,SSW
1939413994,2017,6,Browns,Texans,17,33,85,Clear,FALSE,2,N
1889991320,2017,6,Packers,Vikings,10,23,72,DOME,TRUE,4,WNW
269307673,2017,6,Lions,Saints,38,52,72,DOME,TRUE,2,SE
497012045,2017,6,Dolphins,Falcons,20,17,72,DOME,TRUE,3,SW
950916484,2017,6,Patriots,Jets,24,17,71,Mostly Cloudy,FALSE,5,SW
2331238305,2017,6,49ers,Redskins,24,26,69,Mostly Cloudy,FALSE,3,SSW
3401881028,2017,6,Buccaneers,Cardinals,33,38,72,DOME,TRUE,1,NE
3406660450,2017,6,Rams,Jaguars,27,17,84,Partly Cloudy,FALSE,7,ENE
483020956,2017,6,Steelers,Chiefs,19,13,60,Clear,FALSE,6,NW
4021898031,2017,6,Chargers,Raiders,17,16,75,Dry,FALSE,1,NE
3484826323,2017,6,Giants,Broncos,23,10,53,Clear,FALSE,0,N
1631716473,2017,6,Colts,Titans,22,36,53,Clear,FALSE,1,NNE
2833493106,2017,7,Chiefs,Raiders,30,31,61,Partly Cloudy,FALSE,4,SW
3113001912,2017,7,Buccaneers,Bills,27,30,73,Clear,FALSE,3,SSW
64483361,2017,7,Bengals,Steelers,14,29,73,Clear,FALSE,1,SSW
3743338543,2017,7,Ravens,Vikings,16,24,72,DOME,TRUE,3,WSW
3157384246,2017,7,Jets,Dolphins,28,31,85,Humid and Partly Cloudy,FALSE,9,ESE
3863119765,2017,7,Cardinals,Rams,0,33,52,Clear,FALSE,4,WNW
661634341,2017,7,Panthers,Bears,3,17,67,Overcast,FALSE,4,SSE
4249501557,2017,7,Titans,Browns,12,9,74,Clear,FALSE,4,SSW
562478181,2017,7,Saints,Packers,26,17,51,Mostly Cloudy,FALSE,5,WNW
853289418,2017,7,Jaguars,Colts,27,0,72,DOME,TRUE,5,S
1895317544,2017,7,Cowboys,49ers,40,10,69,Clear,FALSE,2,NW
2210180306,2017,7,Seahawks,Giants,24,7,72,Clear,FALSE,2,SSE
204410790,2017,7,Broncos,Chargers,0,21,89,Clear,FALSE,2,W
1169604259,2017,7,Falcons,Patriots,7,23,56,Partly Cloudy,FALSE,0,E
2576597148,2017,7,Redskins,Eagles,24,34,69,Partly Cloudy,FALSE,3,SE
3843050641,2017,8,Dolphins,Ravens,0,40,48,Clear,FALSE,0,W
2603872050,2017,8,Vikings,Browns,33,16,54,Clear,FALSE,5,NNE
1232921253,2017,8,Falcons,Jets,25,20,62,Rain,FALSE,2,ENE
3841492988,2017,8,Panthers,Buccaneers,17,3,63,Partly Cloudy,FALSE,9,NW
4105918089,2017,8,49ers,Eagles,10,33,63,Possible Drizzle,FALSE,2,E
3780887627,2017,8,Bears,Saints,12,20,72,DOME,TRUE,5,N
773670062,2017,8,Chargers,Patriots,13,21,61,Light Rain,FALSE,1,SE
3192515278,2017,8,Raiders,Bills,14,34,39,Light Rain,FALSE,2,NNE
2460900427,2017,8,Colts,Bengals,23,24,39,Mostly Cloudy,FALSE,1,WNW
1384556532,2017,8,Texans,Seahawks,38,41,50,Overcast,FALSE,0,NE
144247717,2017,8,Cowboys,Redskins,33,19,60,Possible Light Rain,FALSE,0,NNE
3413892302,2017,8,Steelers,Lions,20,15,72,DOME,TRUE,2,NW
1652262882,2017,8,Broncos,Chiefs,19,29,41,Clear,FALSE,3,NNW
2367997272,2017,9,Bills,Jets,21,34,64,Clear,FALSE,2,S
1709531898,2017,9,Colts,Texans,20,14,82,Humid and Partly Cloudy,FALSE,4,SW
2852803613,2017,9,Bengals,Jaguars,7,23,77,Mostly Cloudy,FALSE,4,NE
3314384205,2017,9,Buccaneers,Saints,10,30,72,DOME,TRUE,3,SSW
2468929905,2017,9,Rams,Giants,51,17,56,Overcast,FALSE,1,ENE
37926864,2017,9,Falcons,Panthers,17,20,58,Overcast,FALSE,0,SSE
3054495941,2017,9,Broncos,Eagles,23,51,62,Overcast,FALSE,1,SE
255403024,2017,9,Ravens,Titans,20,23,75,Mostly Cloudy,FALSE,8,SSW
2109602982,2017,9,Cardinals,49ers,20,10,57,Clear,FALSE,1,NW
1226086885,2017,9,Redskins,Seahawks,17,14,35,Light Rain,FALSE,4,NNW
501460750,2017,9,Chiefs,Cowboys,17,28,90,Clear,FALSE,4,SW
2137628329,2017,9,Raiders,Dolphins,27,24,76,Clear,FALSE,0,NE
3359419705,2017,9,Lions,Packers,30,17,34,Clear,FALSE,1,W
719394014,2017,10,Seahawks,Cardinals,22,16,72,DOME,TRUE,1,WSW
3911354900,2017,10,Packers,Bears,23,16,39,Light Rain,FALSE,0,NNW
2482160290,2017,10,Browns,Lions,24,38,72,DOME,TRUE,1,SSW
644942937,2017,10,Steelers,Colts,20,17,72,DOME,TRUE,0,NE
2850703168,2017,10,Chargers,Jaguars,17,20,75,Drizzle,FALSE,5,NE
384516829,2017,10,Saints,Bills,47,10,37,Mostly Cloudy,FALSE,0,SSW
627731657,2017,10,Jets,Buccaneers,10,15,76,Mostly Cloudy,FALSE,6,ENE
1275020061,2017,10,Vikings,Redskins,38,30,43,Clear,FALSE,1,SSW
342946790,2017,10,Bengals,Titans,20,24,52,Mostly Cloudy,FALSE,2,S
1817529563,2017,10,Texans,Rams,7,33,66,Clear,FALSE,0,SW
1304315081,2017,10,Cowboys,Falcons,7,27,72,DOME,TRUE,1,NE
3378624472,2017,10,Giants,49ers,21,31,63,Clear,FALSE,0,N
2370699834,2017,10,Patriots,Broncos,41,16,48,Clear,FALSE,0,WNW
2524098981,2017,10,Dolphins,Panthers,21,45,52,Clear,FALSE,9,NNE
3538117356,2017,11,Titans,Steelers,17,40,37,Mostly Cloudy,FALSE,2,W
684943970,2017,11,Buccaneers,Dolphins,30,20,80,Clear,FALSE,4,W
